a-vorto; adjective
abstrakti; abstract
absurda; absurd, nonsense, preposterous
absurdaĵo; absurdity, nonsense
absurde; bull, nonsensical, absurdly
absurdeco; absurdity
absurdo; absurdity
abunda; ample, bountiful, copious, abundant
abunde; amply, abundantly, readily
abundeco; abundance
abundego; bonanza
abundi; abound
abundo; bounty, plenty, abundance
abutmento; buttress, abutment
acerba; acerbic
acero; maple
acetato; acetate
acetileno; acetylene
aceto; vinegar, acetic acid
acetono; acetone, beta-ketopropane, 2-propanone, dimethyl ketone
acida; acidic, bitter, tart, acid, sour, acerbic
acideco; acidity, bitterness
acidigi; sour
acidiĝi; sour
acidkremo; sour cream
acido; acid
acipensero; sturgeon
adamo; Adam <g>pers</g>
adaptebla; adaptable
adapti; gear, tailor, adjust, fit, accommodate, adapt
adaptilo; controller <g>pers</g>, adapter <g>pers</g>
adaptiĝema; flexible
adaptiĝemo; flexibility
adaptiĝi; adapt, become adapted, adjust
adaptiĝo; adaptation, adjustment
adapto; adaptation
adasismo; suffix rhyme
adaĝe; adagio
adaĝo; adagio
ade; continually, repeatedly
adekvata; comprehensive, appropriate, sufficient, adequate
adekvate; adequately
adekvateco; adequacy
adeptigi; recruit, indoctrinate
adepto; adept <g>pers</g>, follower <g>pers</g>, supporter <g>pers</g>, adherent
adheri; stick to, adhere
adhero; adherence, adhesion
adi; continue, keep on <f>{past kept} {perf kept}</f>
adiaŭ; bye, good-bye, farewell, adieu
adiaŭa; goodbye
adiaŭi; log <g> out</g>, take leave of, say goodbye to
adiaŭo; parting, farewell, good-bye, goodbye
adiciato; addend
adicii; add, add up
adicio; addition
adjektiva; adjectival
adjektivo; adjective
adjudiki; invite tenders for, put out to tender, invite tenders (for), invite tenders (for)
adjudiko; tender invitation, invitation to tender
adjunkto; adjunct, assistant <g>pers</g>
adjutanto; aide-de-camp <g>pers</g>, adjutant <g>pers</g>, aide
administra; executive, administrative
administracia; administrative
administracio; administration, management
administrado; managing, governance, administration, management
administrantaro; administration, management
administranto; administrator
administrejo; directorate
administri; manage, administer
administrilo; manager
administristo; manager, administrator <g>pers</g>
administro; management, administration
admira; admiring
admiralitato; admiralty
admiralo; admiral <g>pers</g>
admiranto; admirer, fan
admiri; admire
admirinda; admirable
admirinde; wonderfully, admirably
admiro; admiration
admitanco; admittance
admona; admonitory
admoni; chide, scold, admonish, exhort
admono; warning, admonition, exhortation
ado; -ing, -ation
adobo; adobe
adoleskeco; adolescence
adolta; pornographic
adolteca; mature
adolteco; adulthood
adolto; adult <g>pers</g>
adopti; adopt, espouse
adoptita; adoptive, foster
adopto; adoption
adoradi; worship
adorado; adoration, worship
adorantino; worshipper <g>pers</g>, adorer <g>pers</g>
adoranto; worshipper
adoratino; adored one
adori; worship, adore
adorinda; adorable
adoro; adoration, worship
adrenalino; adrenaline, adrenalin
adresanto; shipper <g>pers</g>, sender <g>pers</g>
adresaro; address list, directory
adresato; addressee <g>pers</g>
adresfamilio; address family
adresi; address
adreslibra; address book
adreslibro; directory
adreslisto; address list
adreso; address
adrestipo; address type
adsorbi; adsorb
adstringa; tart, astringent
adulta; adulterous
adultema; adulterous
adulti; commit adultery
adulto; adultery
adultulino; adulteress <g>pers</g>
adultulo; adulterer <g>pers</g>
advento; Advent
adverba; adverbial
adverbo; adverb
adversa; adverse
advokato; advocate <g>pers</g>, lawyer <g>pers</g>, attorney
adzo; adze, adz
aera; aerial, overhead, ephemeral, airy, ethereal
aerlinio; airline
aero; air
aerobia; aerobic
aerodinamika; aerodynamic
aerodromo; airfield
aerolito; meteoric stone, aerolite, meteorite
aerometro; aerometer
aeronaŭtiko; aeronautics
aeronaŭto; aeronaut <g>pers</g>
aeroplano; airplane, plane, aeroplane
aerosolo; aerosol, spray
aerostato; air-balloon, aerostat, balloon
aerpirato; skyjacker
aerpumpilo; air pump, Antlia
aertransporto; airlift, air transport
aertubo; tube
aerumado; ventilation
aerumi; aerate, air out, ventilate
aerŝipo; air-ship, balloon, airship
aerŝtono; aerolite, meteor
afabla; friendly, kind, good-natured, affable, genial, civil
afablaĵo; kindness
afable; kindly
afableco; kindness, affability
afazio; aphasia
afekcia; affective
afekcii; attack
afekcio; emotion, disorder, affection
afekta; prim, affected, artificial, showy
afektado; affectation
afektaĵo; mannerism, affectation
afektema; artificial, affected, assumed, showy
afekti; adopt, put on airs, attitudinise, pose, affect, feign, pretend
afekto; affectation, manner
afektulo; poseur <g>pers</g>, attitudiniser
afelio; aphelion
aferema; business-like
aferisto; businessperson, businessman
afero; affair, thing, business, business deal, matter, issue, cause
afgana; Afghan
afganio; Afghanistan
afganistano; Afghanistan
afgano; Afghan
afidedoj; Aphididae
afido; aphid
afikso; affix
afina; affine
afinaebeno; affine plane
afinahiperebeno; affine hyperplane
afinarekto; affine line
afinaspaco; affine space
afineco; affinity
afiŝado; advertising
afiŝi; advertise, to post, post up, post, placard
afiŝo; poster, notice, placard, posting
afiŝtabulo; notice-board, bill-board
aflikta; distressing
afliktadi; pursue
afliktado; affliction, trial, ordeal
aflikti; upset, grieve, afflict, distress
afliktiĝi; upset
afliktiĝo; grief, hardship, sadness, affliction
aflikto; hardship, distress, adversity, travail, woe, affliction
afonio; aphonia
aforismo; aphorism, saying
afranki; stamp, prepay postage, put on stamps, prepay
afrankite; postage prepaid
afranko; postage
afrika; African
afrikano; African <g>pers</g>
afrikansa; Afrikaans
afrikato; affricative
afriko; Africa
afrodita; Aphrodite
afrodito; Aphrodite
afto; aphtha, aphthous ulcer
afusto; gun-carriage, carriage, gun carriage
agaca; irritating, tart
agaci; aggravate, irritate, set on edge
agaco; aggravation
agadi; act
agadludo; action game
agado; action, activity, gig
agapo; agape
agaragaro; agar, agar-agar
agarikacoj; Agrucis family
agariko; mushroom, agaric, agaricus
agato; agate
agavo; agave
agema; active
agemo; activity
agendo; diary, appointment book, agenda, memo book, engagement diary, memorandum book, notebook
agenteco; agency
agentejo; agency
agento; agent, operative
agfenestro; action window
agi; act
agigi; actuate
agita; inflammatory, agitational
agitado; agitation, commotion, fuss, unrest
agitanto; troublemaker
agitfolio; pamphlet
agiti; shake, stir up, incite, agitate
agitisto; troublemaker
agitiĝi; agitate
agitiĝo; commotion, agitation, confusion
agitvorto; catchword
agleca; aquiline
aglo; eagle
aglomeri; agglomerate, fuse
aglutina; agglutinative, agglutinating
aglutinado; agglutination
aglutine; agglutinatively
aglutini; agglutinate
agnateco; kinship, agnation
agnato; agnate <g>pers</g>
agnoski; recognise, recognize, acknowledge, admit
agnosko; acknowledgement, recognition, admission
agnostikismo; agnosticism
ago; action, act
agonii; be near death
agonio; death throes, agony
agonomo; action name
agorafobio; agoraphobia
agordasistilo; configuration wizard
agorderaro; configuration error
agordi; customize, configure settings, set, tune
agordilo; tuner, setup program, configurator, assistant
agordisto; tuner
agordiĝi; tune
agordo; tuning, configuration, agreement
agordobutono; configuration button
agordpakaĵo; configuration package
agordversio; config version
agrabla; congenial, enjoyable, agreeable, nice, pleasant
agrablaĵo; amenity
agrable; agreeably, comfortably, pleasantly, nicely
agrableco; pleasantness, amenity
agrafi; hook, clamp together, clasp
agrafingo; eyelet
agrafo; clasp, hook
agrara; farm, agricultural, agrarian
agregato; aggregate
agresa; aggressive
agresanto; aggressor
agresema; aggressive
agresi; aggress
agreso; aggression
agrikultura; agricultural
agrikulturisto; agrarian, farmer <g>pers</g>, agriculturalist
agrikulturo; tillage, farming, agriculture
agro; arable land, field
agrokultura; agricultural
agrokulturado; agriculture
agrokulturisto; farmer <g>pers</g>
agrokulturo; agriculture, farming
agronomia; agronomic
agronomiisto; agronomist <g>pers</g>
agronomio; agronomy
agronomo; agronomist <g>pers</g>
agropiro; dog grass, twitch, quitch, couch grass, couch-grass
agroturismo; farm holidays
aideso; AIDS
aidoso; AIDS
aidosulo; AIDS patient
aikido; aikido
ailanto; tree of heaven, Ailanthus
ajatolo; ayatollah <g>pers</g>
ajgeno; eigenvalue
ajgenspaco; characteristic subspace
ajgensubspaco; characteristic subspace
ajgenvektoro; eigenvector
ajlo; garlic
ajn; any, at all, th
ajna; any, random
ajuto; nozzle
akacio; acacia
akademia; academic
akademiano; academician <g>pers</g>, academian
akademio; academy
akanto; acanthus
akapari; monopolise, corner, hoard
akaparo; hoarding, monopoly
akaro; mite
akaĵuo; cashew-nut
akcelado; promotion
akceli; boost, promote, speed up, accelerate
akcelilo; accelerator pedal, accelerator
akceliĝi; accelerate, pick up
akcelo; boost, acceleration
akcenta; stressed, emphasized, accented, accentual
akcenti; emphasize, accentuate, stress, accent, underline
akcentita; accented, stressed, emphasized
akcento; emphasis, accent, stress
akceptebla; reasonable, acceptable, admissible
akcepteble; reasonably
akceptejo; reception room, lobby
akceptema; receptive
akcepti; take in, take <f>{past took} {perf taken}</f>, receive, accept
akceptigi; win acceptance for
akceptigo; acceptance
akceptinda; acceptable
akceptistino; receptionist <g>pers</g>
akceptisto; receptionist
akcepto; acceptance
akcesora; accessory, secondary, subsidiary
akcesoraĵo; side-issue, accessory
akciaro; share-capital, holding
akciasocieto; company with share capital, joint-stock company
akcidenta; accidental
akcidente; accidentally
akcidento; accident
akcio; share, stock, share of stock, corporate share
akcipitredoj; Accipitridae family
akcipitro; hawk
akciulo; shareholder <g>pers</g>, stockholder <g>pers</g>
akcizi; levy an exise tax
akcizo; exise tax, excise-duty, excise
akileo; Achillea
akirado; buying, acquisition
akiraĵo; accession, acquisition, gain
akirebla; obtainable
akiri; gain, get <f>{past got} {perf gotten}</f>, attain, obtain, acquire
akiro; gain, asset, acquisition, takeover, procurement
aklamado; acclamation
aklami; hail, acclaim, applaud
aklamo; acclamation, approval, acclaim
aknero; spot, pimple, blemish, zit
akno; pimple, acne, grain
akolito; acolyte <g>pers</g>
akomodi; accomodate, accommodate, adapt, adjust
akomodiĝi; accommodate
akomodiĝo; accommodation
akomodo; configuration
akompana; accompanying, incidental
akompanado; accompaniment
akompanantaro; entourage, suite, train
akompanantino; chaperon <g>pers</g>, duenna <g>pers</g>, attendant
akompananto; attendant
akompani; accompany
akompano; escort <g>pers</g>, accompaniment
akonito; wolfs bane, friarss caps, monks hood, friars's caps, wolf's bane, monk's hood, monk's hood, wolf's bane, friars's caps, aconite, monkshood
akorda; consistent
akordi; agree, accord
akordigi; bring into agreement, conciliate
akordiono; accordion
akordiĝema; conciliatory
akordiĝi; accord, come in accordance, conciliate, reach an accord, come to an agreement
akordiĝo; accord
akordo; settlement, agreement, chord, accord
akra; acrid, harsh, acute, sharp, acrimonious, stark, spiky, cutting, strident
akraĵo; edge, sharp edge
akre; sharply
akreco; bitterness, sharpness
akrediti; accredit
akreditivi; arrange a credit
akreditivo; request for credit, letter of credit
akredito; accreditation
akreo; acre
akresona; strident
akridedoj; Acrididae
akrido; grasshopper, locust
akrigi; sharpen, whet
akrigilo; sharpener
akro; acre
akrobata; acrobatic
akrobataĵo; acrobatics
akrobato; acrobat <g>pers</g>
akromata; achromatic
akronimo; acronym
akroniĉo; yellow-wood, acronychia
akropolo; Acropolis
akrostiĥo; acrostic
aksa; axial
akselo; armpit
aksingo; nave, hub, socket
aksiomo; axiom
akso; axis <f>{pl axes}</f>, axle
aktaro; file
aktinio; actinium
aktiniumo; actinium
aktisto; actuary <g>pers</g>, clerk <g>pers</g>, recorder
aktiva; active, committed
aktivado; activity
aktive; actively
aktiveco; vigour, activity
aktivi; operate
aktivigi; actuate, activate, start, switch on, turn on
aktivigo; setting
aktivismo; activism
aktiviĝo; involvement
aktivo; asset, assets
aktivulo; activist, militant
akto; document, diploma, certificate, act
aktorado; act
aktori; act
aktorino; actress <g>pers</g>
aktoro; actor <g>pers</g>
aktuala; current, topical, present, up-to-date, present-day, incumbent
aktualaĵo; topic
aktuale; presently
aktualeco; topicality, actuality
aktualigi; refresh
aktualigtempo; refresh timeout
aktujo; portfolio, brief case
akumula; cumulative
akumulatoro; rechargeable battery, battery, storage battery, accumulator <g>pers</g>
akumulejo; accumulator <g>pers</g>
akumuli; stack, accumulate, pile up, heap, accrue
akumulilo; storage battery, accumulator <g>pers</g>, battery
akumuliĝi; accrue
akumuliĝo; accumulation, accrual
akupunkturisto; acupuncturist
akupunkturo; acupuncture
akurata; accurate, punctual, prompt, on time
akurate; on time, sharp, exactly, regularly
akurateco; regularity, precision, accuracy, exactitude
akustika; acoustic
akustiko; acoustics
akuta; acute
akutangula; acute
akute; acutely
akuteco; severity
akuza; accusatory
akuzanto; plaintiff, accuser
akuzativo; accusative
akuzaĵo; charge, accusation, indictment, complaint
akuzi; accuse, charge
akuzisto; prosecution
akuzito; defendant
akuzo; allegation, charge, accusation
akuŝi; labour, be in labour, give birth
akuŝigi; deliver (baby), induce labor
akuŝigistino; midwife <g>pers</g>
akuŝilo; forceps
akuŝintino; new mother, lying-in woman
akuŝistino; midwife <g>pers</g>
akuŝiĝo; travail
akuŝo; maternity, birth, childbirth
akva; aquatic, watery
akvaforto; etching
akvamarino; aquamarine
akvarelo; water-colour, aquarelle, watercolour
akvario; aquarium
akvatinto; aquatint, acid-washing
akveca; watery
akvedukto; aqueduct
akvejo; pool
akvero; drop, drop of water
akvi; rinse, water, irrigate, flush
akvifolio; holly
akvilegio; columbine, Aquilegia
akvo; water <g>uncount</g>
akvobaraĵo; dam
akvodislimo; water parting, watershed, divide
akvodismeto; displacement
akvodukto; aqueduct
akvofalo; fall, waterfall, cascade
akvofarbo; water colour
akvokirlo; eddy
akvokoko; coot
akvokondukilo; pipe, hose
akvokreso; watercress
akvolilio; waterlily
akvomelono; watermelon
akvoplena; aqueous
akvoprovizi; water, irrigate, flush, rinse
akvorado; water wheel
akvorezervujo; reservoir
akvorezista; waterproof
akvotubo; drain
akvovaporo; vapour
akvujo; basin
akvumado; watering
akvumi; rinse, flush, water, irrigate, dampen
akvumilo; watering-can
akĉento; accent
al; to <g>{N A}</g>, toward, towards
alabastra; alabaster
alabastro; alabaster
alaho; Allah
alaranĝi; adjust, adapt
alarma; alarming
alarme; alarming
alarmi; alarm
alarmilo; alarm
alarmisto; alarmist <g>pers</g>
alarmiĝi; scare
alarmo; alarm
alarmsignalo; alarm, alarm-signal
alaska; Alaska Peninsula, Gulf of Alaska
alasko; Alaska
alaŭdedoj; passeriformes, Alaudidae, larks
alaŭdo; lark
albana; Albanian
albane; in Albanian
albanio; Albania
albano; Albanian <g>pers</g>
albanujo; Albania
albati; slam
albatredoj; albatrosses, procellariformes
albatroso; albatross
albino; albino <g>pers</g>
albo; alb
albordiĝejo; landing-stage, pier, jetty
albordiĝi; land
albordiĝo; landing, landfall
albumeno; endosperm (of seeds), endosperm (of seeds)
albumino; albumin, egg white, albumine
albuminurio; albuminuria
albumo; album
alburno; sapwood
alcedo; kingfisher
alcela; focussed
alcentrigi; center, centralise
alcentrigo; centralisation
alciono; kingfisher
aldehido; aldehyde
aldirekti; level
aldiri; add
aldo; alto <g>pers</g>, falsetto
aldona; supplementary
aldonaĵo; additive, appendix
aldone; in addition, incidentally
aldoni; add
aldono; addition, rider <g>pers</g>, appendix <f>{pl appendices}</f>, codicil
aldonvaloraimposto; VAT, value added tax
alegoria; allegoric
alegorio; allegory
alegreto; allegretto
alegro; allegro
aleksandrio; Alexandria
aleksandro; Alexander the Great, Alexander
alelekti; co-opt
alen; into
aleno; awl
aleo; avenue
alergia; allergic
alergio; allergy
alero; penthouse, shed
alerono; aileron
alesti; be present, present
alesto; presence
aleutaj; Aleutian Islands
aleuto; Aleut <g>pers</g>
alezi; drill, ream, bore
alezilo; drill, reamer
alfabeta; alphabetic, alphabetical
alfabeto; alphabet
alfabetumo; book of ABC's, ABC book, book of ABCs, book of ABC's
alfari; accommodate
alfenido; alfenide
alfiksi; attach, affix
alfluanto; tributary
alflugi; fly <f>{past flew} {perf flown}</f>, approach
alflui; stream
alfluo; stream, ebb, ebb and flow, flow, influx, high tide
alfo; stipa grass
alfronti; face, confront
alfundiĝi; sink, settle
algebra; algebraic
algebradualo; full dual space
algebrafrakcio; algebraic fraction
algebrastrukturo; algebraic structure
algebro; sigma-field, sigma-algebra, Borel['s] field, algebra, Borel[s] field
alglui; paste up, post up, post, paste
algluiĝema; sticky
algluiĝi; stick <f>{past stuck} {perf stuck}</f>, attach
algo; seaweed, alga
algoritmo; algorithm
alia; other, else, another
aliancano; ally
alianci; ally
aliancita; allied
aliancito; ally
alianciĝi; ally, side with, form an alliance
alianco; alliance
alianculo; ally
alibio; alibi
alie; else, differently, otherwise
aliflanke; on the other hand, on the other side
alifoje; another time
aliformigi; transform
aliformigo; recreation, transformation, refashioning, conversion
aliformiĝo; conversion, metamorphosis, transformation
aligatoredoj; alligators, Alligatoridae
aligatoro; alligator
aligi; join, adjoin, add
aliigi; change, alter, modify
aliigo; change
aliiĝi; alter, change
aliiĝo; change
alikonstruado; conversion
alikonstrui; alter
alikvanto; non-aliquot part
alikvoto; aliquot part
alilanda; foreign
alilandano; foreigner <g>pers</g>, alien <g>pers</g>
alilande; abroad, beyond
aliloke; elsewhere
aliloken; elsewhere
alimaniere; differently, otherwise
alimento; maintenance allowance, alimony
alineo; paragraph
alineoatributo; paragraph attribute
alinome; alias, otherwise called, otherwise
aliokaze; otherwise
aliparencigi; reparent
aliparte; on the other hand
alirebla; accessible
alirebleco; accessibility, access
alireblo; accessibility
alirejo; gateway
aliri; access, advance, come on, approach
aliro; access, approach
alispeca; different, another kind of, of another kind
aliteracio; alliteration
aliulo; another, another man
alivesti; repackage
alivorte; In other words
alizarbo; common whitebeam
alizujo; common whitebeam
aliĝi; join, enlist, adhere
aliĝilo; entry, registration form, application form
aliĝinto; member
aliĝo; accession, commitment, adherence, allegiance
aljungi; put <f>{past put} {perf put}</f>
aljuĝado; tender, awarding
aljuĝi; confer, adjudge
aljuĝo; allocation
alkala; alkaline
alkaleca; alkaline
alkalkuli; add, include, attribute, count
alkalo; alkali
alkaloido; alkaloid
alkemiisto; alchemist
alkemio; alchemy
alklaki; click, click on
alklimatiĝi; acclimatise, acclimate, acclimatize
alko; elk, moose
alkohola; alcoholic
alkoholaĵo; booze, liquor, strong drink, alcoholic beverage, drink,  drink (alcoholic)
alkoholismo; alcoholism
alkoholo; alcohol
alkoholulo; drunkard, alcoholic
alkonduki; lead
alkonduko; delivery
alkonstrui; add
alkovo; recess, alcove
alkroĉi; hook on, hitch on, attach
alkroĉiĝi; attach, perch, get caught, cling <f>{past clung} {perf clung}</f>
alkudri; sew <f>{past sewed} {perf sewed}</f>, sew on
alkuri; scramble
alkuro; scramble, crush
alkutimigi; train
alkutimiĝi; become accustomed, get used (to), adjust
alkutimiĝo; adjustment
allasebla; admissible
allasi; admit, allow, include
allaso; admission
alligi; tether, peg, hitch, strap, moor, attach
alligiĝi; attach
alloga; attractive, alluring
allogaĵo; attraction
alloge; inviting, persuasively
allogeco; allure, attraction, charm, attractiveness
allogi; attract, draw <f>{past drew} {perf drawn}</f>
allogilo; inducement
allogo; attraction
almanako; almanac
almanaĥo; almanac
almato; Almaty
almenaŭ; at least
almeti; attach, put onto, paste, append, add
almeto; application
almezurado; fitting
almezuri; take one's measure for, measure
almiksi; admix
almozdonema; charitable
almozdoni; give alms
almozi; beg
almozisto; mendicant <g>pers</g>, beggar <g>pers</g>, almsman
almozkesto; poor box
almozo; alms, handout, charitable relief, charity
almozpetado; begging
almozpeti; beg
almozulejo; poorhouse, almshouse, workhouse
almozulino; beggar-woman <g>pers</g>
almozulo; beggar <g>pers</g>
alnajli; nail
alnaĝi; be washed ashore
alniveligi; level
alno; alder, elder <g>pers</g>
alnomo; nickname, alias
alo; wing, arm, aisle
aloji; alloy
alojo; alloy
alonĝo; allonge
aloo; aloe
alopatia; allopathic
alopatio; allopathy
alopecio; alopecia, baldness
alordigi; assign
alordigo; binding
alozo; shad
alpago; extra fee
alpako; alpaca
alparo; parity
alparolebla; get-at-able, communicative, approachable
alparoli; speak to, address
alparolo; message
alpaŝi; advance, approach, tackle, deal with
alpaŝo; approach
alpingli; pin
alpisto; mountain climber <g>pers</g>, climber, Alpinist <g>pers</g>
alportado; arrival, arrivals, supply
alporti; bring <f>{past brought} {perf brought}</f>, fetch
alpremi; press, clasp
alpreni; adopt, take on, take
alpreno; acquisition
alproksimigi; bring close together
alproksimiĝado; convergence
alproksimiĝi; near, approach, come close, converge
alproksimiĝo; approach
alproprietigi; assign
alproprigi; acquire
alproprigo; acquisition, appropriation
alprunti; lend <f>{past lent} {perf lent}</f>, loan
alrigardi; look
alsalti; pounce, leap
alsino; Stellaria
alta; high, lofty, tall
altagrade; to a high degree
altairo; Altair
altaja; Altai, Altai language family
altajo; Altai
altano; overlook, terrace
altarejo; sanctuary, presbyterium, chancel
altaro; Ara, altar
altaĵeto; bank, mound, hillock
altaĵo; heights, mound, high place, hillock, eminence
alte; highly, high
altebenaĵo; plateau
alteco; height, altitude, elevation
altega; fancy
altekosta; expensive, pricey
alteniĝi; stick
alteo; hibiscus, Althea
alterigi; land
alteriĝi; land
alteriĝo; landing
alterna; alternating, alternate
alternado; alternation
alternagrupo; alternating group
alternanco; half-period
alternativa; alternative
alternative; alternativa, alternatively
alternativo; alternative, option
alternatoro; alternator
alterne; alternately
alterni; alternate
alterno; alternation
altestime; highly, respectfully
altgrada; sophisticated
altigi; hike, exalt, elevate, raise
altigo; rise
altira; attractive
altirado; drawing
altiri; attract
altiro; attraction
altitudo; altitude
altiĝi; rise <f>{past rose} {perf risen}</f>
altiĝo; rise, hiking, hike
altklasulo; member of the upper-class
altkreska; tall
altkvalita; prime
altlerneja; college
altlernejo; college, institut.of higher education
altmaro; high tide
altnivela; advanced, sophisticated
alto; high, altitude, height
altocentro; orthocenter
altpreza; pricey, high-priced
altranga; leading, senior
altrangulo; official
altreliefo; high relief
altrudi; impose, impose upon, force
altrudiĝi; impose
altrudo; imposition
altruisma; altruistic
altruismo; altruism
altstatura; lanky, tall, of high stature
altvalora; of great value, precious
aluda; indirect
alude; indirectly
aludeto; hint
aludi; hint, allude
aludo; allusion
alumeto; match, matchstick
aluminia; aluminum
aluminio; aluminium, aluminum, aluminum, aluminium, aluminium
alumino; alum earth, alumina
aluno; alum
aluvio; alluvium, alluvion
alveni; arrive, get
alveno; advent, arrival
alveolo; cavity
alveturi; collide, run <f>{past ran} {perf run}</f>
alveturigi; supply, bring <f>{past brought} {perf brought}</f>, convey
alveturo; trip
alvoki; summon, invoke, appeal to
alvokiĝo; vocation
alvoko; appeal, summons
alvuso; restocking fish
alŝovi; push (toward)
alŝoviĝi; glide (toward)
alŝultrigi; shoulder
alŝuti; upload
alŝvebi; float
alĉemilo; lady's mantle, rosacea
alĝebro; linear algebra
alĝerio; Algeria
alĝero; Algiers
alĝustigi; fix, right, adjust, correct, put right
alĝustigo; revision
alĥemiisto; alchemist <g>pers</g>
alĥemio; alchemy
ama; loving, affectionate
amafero; love affair, affair
amalgami; amalgamate
amalgamo; amalgam
amanito; Amanita mushroom
amano; Amman
amanta; loving
amantino; lover <g>pers</g>
amanto; lover
amara; sour, bitter
amaranto; amaranthus, amaranth, Prince's feather, love-lies-bleeding, pigweed, Prince's feather, Princes feather
amaraĵo; bitterness
amare; bitterly
amareco; bitterness
amarigi; sour
amarilido; amaryllis
amariĝi; sour
amaro; bitterness
amasa; wholesale, mass
amasbuĉadi; slaughter
amasdetruaarmilo; weapon of mass destruction
amase; heavily
amasege; massively
amasego; host
amasigi; accumulate, pile, stack, pile up, heap, amass
amasigo; collection, accumulation
amasinformilo; mass media
amasiĝa; cumulative
amasiĝado; buildup
amasiĝi; crowd, mass
amasiĝo; collection, assembly
amaskomunikilaro; media
amasloĝejo; mass accommodations
amaso; pack, cumulus, mass, pile, multitude, crowd, heap
amastombejo; mass grave
amata; favourite, beloved
amataĵo; hobby, pastime
amatino; lover <g>pers</g>, loved one <g>pers</g>, sweetheart <g>pers</g>, beloved <g>pers</g>, love
amato; love
amatora; amateur
amatoreca; small-time, amateurish
amatoro; amateur <g>pers</g>, fancier <g>pers</g>
amazono; amazon <g>pers</g>
amaĉi; make love
amaĵema; flirtatious
amaĵi; make love, have a love affair
amaĵisto; lover, geisha, courtisane, gigolo
amaĵo; love affair, affair
ambasadejo; embassy
ambasado; dimplomatic mission, embassy, diplomatic mission
ambasadorejo; embassy building, embassy
ambasadoro; ambassador <g>pers</g>
ambaŭ; both
ambaŭflanka; reciprocal, bilateral
ambaŭflanken; to both sides
ambaŭtranĉa; two-edged
ambicia; ambitious
ambicii; have the ambition to, seek
ambicio; ambition
ambiciulo; careerist <g>pers</g>, ambitious person
ambigua; ambiguous, equivocal
ambigueco; ambiguity
ambli; waddle
amblo; amble
ambono; platform, pulpit, Amboina
amboso; anvil
ambro; amber, grey amber, ambergris
ambrozio; ambrosia
ambulanco; ambulance, field hospital
ame; affectionately
amebo; amoeba
amegi; adore
amela; crisp
amelo; starch
amema; loving
ameme; fondly
amemo; tenderness
amendamento; amendment
amendi; amend
amendo; revision, amendment
amento; amentum, catkin
americio; americium
amerika; american
amerikano; American <g>pers</g>
ameriko; America, the Americas
ameti; have a crush on
ametisto; amethyst
amfibia; amphibious
amfibio; amphibian
amfibioj; amphibians
amfibrako; amphibrach
amfibraĥo; amphibrach
amfiteatro; amphitheatre, amphitheater
amforo; amphora, Aquarius <g>pers</g>
ami; love, cherish
amiantio; flypoison
amika; friendly, cordial
